date,store_id,sku_id,true_demand_units,promo_flag,holiday_flag,category,forecast_units
2026-01-03,ST001,SKU0001,6,0,0,Personal Care,3.142857142857143
2026-01-04,ST001,SKU0001,4,0,0,Personal Care,3.7142857142857144
2026-01-05,ST001,SKU0001,2,0,0,Personal Care,2.857142857142857
2026-01-06,ST001,SKU0001,4,0,0,Personal Care,2.7142857142857144
2026-01-07,ST001,SKU0001,2,0,0,Personal Care,2.7142857142857144
2026-01-08,ST001,SKU0001,4,0,0,Personal Care,2.857142857142857
2026-01-09,ST001,SKU0001,2,0,0,Personal Care,3.142857142857143
2026-01-10,ST001,SKU0001,7,0,0,Personal Care,3.4285714285714284
2026-01-11,ST001,SKU0001,6,0,0,Personal Care,3.5714285714285716
2026-01-12,ST001,SKU0001,12,0,0,Personal Care,3.857142857142857
2026-01-13,ST001,SKU0001,1,0,0,Personal Care,5.285714285714286
2026-01-14,ST001,SKU0001,3,0,0,Personal Care,4.857142857142857
2026-01-15,ST001,SKU0001,6,0,0,Personal Care,5.0
2026-01-16,ST001,SKU0001,3,0,0,Personal Care,5.285714285714286
2026-01-17,ST001,SKU0001,6,0,0,Personal Care,5.428571428571429
2026-01-18,ST001,SKU0001,7,0,0,Personal Care,5.285714285714286
2026-01-19,ST001,SKU0001,0,0,0,Personal Care,5.428571428571429
2026-01-20,ST001,SKU0001,8,0,0,Personal Care,3.7142857142857144
2026-01-21,ST001,SKU0001,3,0,0,Personal Care,4.714285714285714
2026-01-22,ST001,SKU0001,1,0,0,Personal Care,4.714285714285714
2026-01-23,ST001,SKU0001,8,0,0,Personal Care,4.0
2026-01-24,ST001,SKU0001,8,0,0,Personal Care,4.714285714285714
2026-01-25,ST001,SKU0001,6,0,0,Personal Care,5.0
2026-01-26,ST001,SKU0001,6,0,0,Personal Care,4.857142857142857
2026-01-27,ST001,SKU0001,2,0,0,Personal Care,5.714285714285714
2026-01-28,ST001,SKU0001,4,0,0,Personal Care,4.857142857142857
2026-01-29,ST001,SKU0001,3,0,0,Personal Care,5.0
2026-01-30,ST001,SKU0001,5,0,0,Personal Care,5.285714285714286
2026-01-03,ST001,SKU0002,2,0,0,Home Care,4.857142857142857
2026-01-04,ST001,SKU0002,10,0,0,Home Care,4.142857142857143
2026-01-05,ST001,SKU0002,2,0,0,Home Care,5.0
2026-01-06,ST001,SKU0002,3,0,0,Home Care,5.0
2026-01-07,ST001,SKU0002,6,0,0,Home Care,4.142857142857143
2026-01-08,ST001,SKU0002,4,0,0,Home Care,4.428571428571429
2026-01-09,ST001,SKU0002,8,0,0,Home Care,4.571428571428571
2026-01-10,ST001,SKU0002,7,0,0,Home Care,5.0
2026-01-11,ST001,SKU0002,9,0,0,Home Care,5.714285714285714
2026-01-12,ST001,SKU0002,2,0,0,Home Care,5.571428571428571
2026-01-13,ST001,SKU0002,6,0,0,Home Care,5.571428571428571
